cg08169020,chr14:68790171-68790172 - 2bp, 1CpGs: 20366646-20366647
cg04076264,chr6:150115982-150115983 - 2bp, 1CpGs: 10574692-10574693
cg20067575,chr6:150115936-150115937 - 2bp, 1CpGs: 10574687-10574688
cg04286195,chr16:88066096-88066097 - 2bp, 1CpGs: 22808523-22808524
cg06969933,chr16:88066134-88066135 - 2bp, 1CpGs: 22808526-22808527
cg05762553,chr16:88066116-88066117 - 2bp, 1CpGs: 22808525-22808526
cg22786486,chr22:20086005-20086006 - 2bp, 1CpGs: 27341378-27341379
cg16929427,chr6:1577843-1577844 - 2bp, 1CpGs: 9332419-9332420
cg00134190,chr6:1577878-1577879 - 2bp, 1CpGs: 9332423-9332424
cg27089559,chr6:1577858-1577859 - 2bp, 1CpGs: 9332421-9332422
cg26431815,chr8:718053-718054 - 2bp, 1CpGs: 12455570-12455571
cg02612270,chr16:965103-965104 - 2bp, 1CpGs: 21755278-21755279
cg24586870,chr2:232333880-232333881 - 2bp, 1CpGs: 4404345-4404346
cg04649852,chr16:29218329-29218330 - 2bp, 1CpGs: 22172474-22172475
cg03383886,chr7:156543923-156543924 - 2bp, 1CpGs: 12388809-12388810
cg13599131,chr10:131983019-131983020 - 2bp, 1CpGs: 16376271-16376272
cg27353308,chr10:131983055-131983056 - 2bp, 1CpGs: 16376274-16376275
cg02835981,chr10:131982990-131982991 - 2bp, 1CpGs: 16376269-16376270
cg21762589,chr10:131982972-131982973 - 2bp, 1CpGs: 16376268-16376269
cg26906629,chr11:68796899-68796900 - 2bp, 1CpGs: 17147156-17147157
cg00357546,chr10:133218650-133218651 - 2bp, 1CpGs: 16412639-16412640
cg25408237,chr1:9596926-9596927 - 2bp, 1CpGs: 200820-200821
cg07897659,chr22:49923253-49923254 - 2bp, 1CpGs: 27826827-27826828
cg24640577,chr1:246775914-246775915 - 2bp, 1CpGs: 2351666-2351667
cg06826710,chr1:246775947-246775948 - 2bp, 1CpGs: 2351668-2351669
cg23430295,chr7:141032938-141032939 - 2bp, 1CpGs: 12209090-12209091
cg05828992,chr7:141032889-141032890 - 2bp, 1CpGs: 12209083-12209084
cg02152290,chr7:511964-511965 - 2bp, 1CpGs: 10836462-10836463
cg15640993,chr10:130233042-130233043 - 2bp, 1CpGs: 16348466-16348467
cg11827743,chr8:74948384-74948385 - 2bp, 1CpGs: 13186181-13186182
cg27026390,chr8:74948393-74948394 - 2bp, 1CpGs: 13186182-13186183
cg14245471,chr2:10427717-10427718 - 2bp, 1CpGs: 2506782-2506783
cg19081571,chr1:1254757-1254758 - 2bp, 1CpGs: 24304-24305
cg17469240,chr1:1254716-1254717 - 2bp, 1CpGs: 24302-24303
cg01176141,chr11:70176926-70176927 - 2bp, 1CpGs: 17173942-17173943
cg13089599,chr11:70176954-70176955 - 2bp, 1CpGs: 17173944-17173945
cg22004774,chr6:137174217-137174218 - 2bp, 1CpGs: 10470102-10470103
cg14553824,chr6:137174246-137174247 - 2bp, 1CpGs: 10470103-10470104
cg24008893,chr2:39400128-39400129 - 2bp, 1CpGs: 2787217-2787218
cg11276053,chr19:45804476-45804477 - 2bp, 1CpGs: 25730844-25730845
cg26070281,chr14:21091869-21091870 - 2bp, 1CpGs: 19980679-19980680
cg10464529,chr16:57996826-57996827 - 2bp, 1CpGs: 22436275-22436276
cg00454856,chr16:57996907-57996908 - 2bp, 1CpGs: 22436285-22436286
cg25899954,chr18:8660166-8660167 - 2bp, 1CpGs: 24201624-24201625
cg09227533,chr4:186024185-186024186 - 2bp, 1CpGs: 7693386-7693387
cg00313498,chr4:7786217-7786218 - 2bp, 1CpGs: 6392142-6392143
cg27567206,chr4:7786256-7786257 - 2bp, 1CpGs: 6392145-6392146
cg10099518,chr4:7786233-7786234 - 2bp, 1CpGs: 6392143-6392144
cg17257554,chr2:241065408-241065409 - 2bp, 1CpGs: 4543135-4543136
cg00313498,chr4:7786217-7786218 - 2bp, 1CpGs: 6392142-6392143
cg27567206,chr4:7786256-7786257 - 2bp, 1CpGs: 6392145-6392146
cg10099518,chr4:7786233-7786234 - 2bp, 1CpGs: 6392143-6392144
cg02359773,chr19:45804588-45804589 - 2bp, 1CpGs: 25730853-25730854
cg13513411,chr19:4676190-4676191 - 2bp, 1CpGs: 25030893-25030894
cg19016273,chr7:3908392-3908393 - 2bp, 1CpGs: 10921526-10921527
cg11985341,chr11:129852582-129852583 - 2bp, 1CpGs: 17698889-17698890
cg27223646,chr11:129852617-129852618 - 2bp, 1CpGs: 17698891-17698892
cg25637473,chr15:62245761-62245762 - 2bp, 1CpGs: 21269781-21269782
cg23066057,chr15:62245735-62245736 - 2bp, 1CpGs: 21269777-21269778
cg06136125,chr15:62245717-62245718 - 2bp, 1CpGs: 21269775-21269776
cg27459530,chr16:87711300-87711301 - 2bp, 1CpGs: 22798938-22798939
cg08734237,chr16:87711342-87711343 - 2bp, 1CpGs: 22798941-22798942
cg02924834,chr16:87711270-87711271 - 2bp, 1CpGs: 22798935-22798936
cg00313498,chr4:7786217-7786218 - 2bp, 1CpGs: 6392142-6392143
cg27567206,chr4:7786256-7786257 - 2bp, 1CpGs: 6392145-6392146
cg10099518,chr4:7786233-7786234 - 2bp, 1CpGs: 6392143-6392144
cg24630516,chr11:76141345-76141346 - 2bp, 1CpGs: 17250918-17250919
cg05343689,chr11:76141393-76141394 - 2bp, 1CpGs: 17250923-17250924
cg07783183,chr11:76141311-76141312 - 2bp, 1CpGs: 17250917-17250918
cg11985341,chr11:129852582-129852583 - 2bp, 1CpGs: 17698889-17698890
cg27223646,chr11:129852617-129852618 - 2bp, 1CpGs: 17698891-17698892
cg25931138,chr3:195982827-195982828 - 2bp, 1CpGs: 6204675-6204676
cg12923728,chr3:195982844-195982845 - 2bp, 1CpGs: 6204677-6204678
cg01813877,chr14:102903380-102903381 - 2bp, 1CpGs: 20734063-20734064
cg01125214,chr2:235980125-235980126 - 2bp, 1CpGs: 4455657-4455658
cg25637473,chr15:62245761-62245762 - 2bp, 1CpGs: 21269781-21269782
cg23066057,chr15:62245735-62245736 - 2bp, 1CpGs: 21269777-21269778
cg06136125,chr15:62245717-62245718 - 2bp, 1CpGs: 21269775-21269776
cg22782070,chr13:113431271-113431272 - 2bp, 1CpGs: 19896688-19896689
cg26994283,chr5:178537756-178537757 - 2bp, 1CpGs: 9255695-9255696
cg02654411,chr16:1602551-1602552 - 2bp, 1CpGs: 21779513-21779514
cg24425531,chr1:15046455-15046456 - 2bp, 1CpGs: 284520-284521
cg07979388,chr4:168652104-168652105 - 2bp, 1CpGs: 7543340-7543341
cg26673975,chr16:66387071-66387072 - 2bp, 1CpGs: 22499008-22499009
cg02952918,chr12:119735206-119735207 - 2bp, 1CpGs: 18850025-18850026
cg14578247,chr12:119735252-119735253 - 2bp, 1CpGs: 18850029-18850030
cg01602345,chr1:3360961-3360962 - 2bp, 1CpGs: 90260-90261
cg21167817,chr1:3360993-3360994 - 2bp, 1CpGs: 90264-90265
cg02453348,chr11:3617228-3617229 - 2bp, 1CpGs: 16517361-16517362
cg14166625,chr11:3617218-3617219 - 2bp, 1CpGs: 16517360-16517361
cg10933428,chr2:128345590-128345591 - 2bp, 1CpGs: 3595184-3595185
cg00102512,chr2:128345588-128345589 - 2bp, 1CpGs: 3595183-3595184
cg27459530,chr16:87711300-87711301 - 2bp, 1CpGs: 22798938-22798939
cg08734237,chr16:87711342-87711343 - 2bp, 1CpGs: 22798941-22798942
cg24868883,chr19:45145044-45145045 - 2bp, 1CpGs: 25713791-25713792
cg15893929,chr17:3851896-3851897 - 2bp, 1CpGs: 22956347-22956348
cg02746684,chr3:197620405-197620406 - 2bp, 1CpGs: 6231471-6231472
cg00133223,chr3:197620385-197620386 - 2bp, 1CpGs: 6231469-6231470
cg26124466,chr3:197620364-197620365 - 2bp, 1CpGs: 6231467-6231468
cg17274072,chr15:90360995-90360996 - 2bp, 1CpGs: 21591420-21591421
cg20985897,chr7:157985839-157985840 - 2bp, 1CpGs: 12419177-12419178
cg13786513,chr19:45145304-45145305 - 2bp, 1CpGs: 25713812-25713813
cg23716449,chr8:21750768-21750769 - 2bp, 1CpGs: 12700541-12700542
cg15997512,chr8:21750742-21750743 - 2bp, 1CpGs: 12700538-12700539
cg00171166,chr20:36815872-36815873 - 2bp, 1CpGs: 26371796-26371797
cg08552167,chr10:132746605-132746606 - 2bp, 1CpGs: 16396513-16396514
cg14280283,chr9:137009409-137009410 - 2bp, 1CpGs: 15003743-15003744
cg02381965,chr2:3414709-3414710 - 2bp, 1CpGs: 2426719-2426720
cg24929896,chr2:3414759-3414760 - 2bp, 1CpGs: 2426724-2426725
cg16755475,chr16:4752989-4752990 - 2bp, 1CpGs: 21862325-21862326
cg11920453,chr4:1418032-1418033 - 2bp, 1CpGs: 6275035-6275036
cg15147841,chr19:45530027-45530028 - 2bp, 1CpGs: 25723913-25723914
cg12554051,chr12:556697-556698 - 2bp, 1CpGs: 17769951-17769952
cg24984147,chr12:556721-556722 - 2bp, 1CpGs: 17769952-17769953
cg01179055,chr12:556663-556664 - 2bp, 1CpGs: 17769949-17769950
cg03445173,chr2:17817070-17817071 - 2bp, 1CpGs: 2574146-2574147
cg06880930,chr16:57113388-57113389 - 2bp, 1CpGs: 22422492-22422493
cg07521668,chr11:64031909-64031910 - 2bp, 1CpGs: 17046670-17046671
cg02235041,chr8:143593883-143593884 - 2bp, 1CpGs: 13740771-13740772
cg10427811,chr5:80351771-80351772 - 2bp, 1CpGs: 8454596-8454597
cg02118390,chr6:166638256-166638257 - 2bp, 1CpGs: 10753485-10753486
cg02655824,chr6:166638226-166638227 - 2bp, 1CpGs: 10753483-10753484
cg25296804,chr6:166638293-166638294 - 2bp, 1CpGs: 10753487-10753488
cg10924857,chr17:20110516-20110517 - 2bp, 1CpGs: 23198218-23198219
cg18365383,chr7:33686207-33686208 - 2bp, 1CpGs: 11201051-11201052
cg24526056,chr5:157052545-157052546 - 2bp, 1CpGs: 9034074-9034075
cg08209184,chr20:36816157-36816158 - 2bp, 1CpGs: 26371817-26371818
cg00734813,chr20:36816109-36816110 - 2bp, 1CpGs: 26371811-26371812
cg21970473,chr20:36816155-36816156 - 2bp, 1CpGs: 26371816-26371817
cg09927251,chr2:1882333-1882334 - 2bp, 1CpGs: 2405168-2405169
cg01743020,chr2:1882314-1882315 - 2bp, 1CpGs: 2405166-2405167
cg17162031,chr2:1882355-1882356 - 2bp, 1CpGs: 2405170-2405171
cg04216051,chr2:239250916-239250917 - 2bp, 1CpGs: 4507351-4507352
cg20415945,chr2:239250949-239250950 - 2bp, 1CpGs: 4507354-4507355
cg11707310,chr1:2606280-2606281 - 2bp, 1CpGs: 71348-71349
cg21929781,chr1:2606309-2606310 - 2bp, 1CpGs: 71351-71352
cg01362762,chr13:114039924-114039925 - 2bp, 1CpGs: 19911987-19911988
cg20149898,chr13:21979621-21979622 - 2bp, 1CpGs: 19156153-19156154
cg25154059,chr13:21979592-21979593 - 2bp, 1CpGs: 19156150-19156151
cg19358202,chr1:41020430-41020431 - 2bp, 1CpGs: 660813-660814
cg26071556,chr7:1054218-1054219 - 2bp, 1CpGs: 10854576-10854577
cg11116288,chr7:1054244-1054245 - 2bp, 1CpGs: 10854580-10854581
cg13320257,chr7:1054267-1054268 - 2bp, 1CpGs: 10854581-10854582
cg18579761,chr4:82402432-82402433 - 2bp, 1CpGs: 6959517-6959518
cg21784143,chr17:20557275-20557276 - 2bp, 1CpGs: 23203506-23203507
cg05058886,chr17:20557314-20557315 - 2bp, 1CpGs: 23203510-23203511
cg01071314,chr1:3361059-3361060 - 2bp, 1CpGs: 90269-90270
cg03347739,chr6:53922870-53922871 - 2bp, 1CpGs: 9894685-9894686
cg18993641,chr14:105643159-105643160 - 2bp, 1CpGs: 20800769-20800770
cg11753771,chr1:214464727-214464728 - 2bp, 1CpGs: 2022929-2022930
cg03239335,chr2:3414870-3414871 - 2bp, 1CpGs: 2426730-2426731
cg04893833,chr20:33848585-33848586 - 2bp, 1CpGs: 26328388-26328389
cg15707332,chr20:33848553-33848554 - 2bp, 1CpGs: 26328387-26328388
cg09692355,chr16:1627046-1627047 - 2bp, 1CpGs: 21780403-21780404
cg23716449,chr8:21750768-21750769 - 2bp, 1CpGs: 12700541-12700542
cg15997512,chr8:21750742-21750743 - 2bp, 1CpGs: 12700538-12700539
cg03427577,chr2:61582504-61582505 - 2bp, 1CpGs: 2972162-2972163
cg16481556,chr8:2470683-2470684 - 2bp, 1CpGs: 12493018-12493019
cg03269045,chr2:26457610-26457611 - 2bp, 1CpGs: 2659544-2659545
cg19846609,chr11:125129498-125129499 - 2bp, 1CpGs: 17649869-17649870
cg19727491,chr7:4225916-4225917 - 2bp, 1CpGs: 10927608-10927609
cg19854900,chr7:4225897-4225898 - 2bp, 1CpGs: 10927606-10927607
cg12449716,chr10:132747612-132747613 - 2bp, 1CpGs: 16396547-16396548
cg09757588,chr2:1414256-1414257 - 2bp, 1CpGs: 2395869-2395870
cg23136645,chr2:1414301-1414302 - 2bp, 1CpGs: 2395872-2395873
cg27378591,chr2:240757607-240757608 - 2bp, 1CpGs: 4536371-4536372
cg13175786,chr1:3243051-3243052 - 2bp, 1CpGs: 87033-87034
cg13867039,chr1:3243081-3243082 - 2bp, 1CpGs: 87035-87036
cg27315348,chr3:184324920-184324921 - 2bp, 1CpGs: 6081526-6081527
cg12023686,chr3:184324887-184324888 - 2bp, 1CpGs: 6081524-6081525
cg22808692,chr7:6154155-6154156 - 2bp, 1CpGs: 10968988-10968989
cg23674202,chr17:82583673-82583674 - 2bp, 1CpGs: 24101126-24101127
cg16996571,chr14:91224785-91224786 - 2bp, 1CpGs: 20576337-20576338
cg19873420,chr14:91224835-91224836 - 2bp, 1CpGs: 20576341-20576342
cg24352934,chr17:1150596-1150597 - 2bp, 1CpGs: 22898083-22898084
cg09596260,chr16:50304469-50304470 - 2bp, 1CpGs: 22355732-22355733
cg13411923,chr12:121958771-121958772 - 2bp, 1CpGs: 18890264-18890265
cg15417875,chr12:121958781-121958782 - 2bp, 1CpGs: 18890266-18890267
cg13411923,chr12:121958771-121958772 - 2bp, 1CpGs: 18890264-18890265
cg15417875,chr12:121958781-121958782 - 2bp, 1CpGs: 18890266-18890267
cg09860804,chr12:121958727-121958728 - 2bp, 1CpGs: 18890261-18890262
cg10369955,chr12:132288888-132288889 - 2bp, 1CpGs: 19051865-19051866
cg24630516,chr11:76141345-76141346 - 2bp, 1CpGs: 17250918-17250919
cg07783183,chr11:76141311-76141312 - 2bp, 1CpGs: 17250917-17250918
cg09557149,chr4:182895011-182895012 - 2bp, 1CpGs: 7651800-7651801
cg00350519,chr1:53440069-53440070 - 2bp, 1CpGs: 794222-794223
cg16038181,chr1:53440041-53440042 - 2bp, 1CpGs: 794221-794222
cg00612828,chr4:182894818-182894819 - 2bp, 1CpGs: 7651792-7651793
cg07927953,chr10:132746192-132746193 - 2bp, 1CpGs: 16396503-16396504
cg19412478,chr22:26487674-26487675 - 2bp, 1CpGs: 27441949-27441950
cg11761622,chr6:25726728-25726729 - 2bp, 1CpGs: 9583535-9583536
cg07077277,chr6:25726684-25726685 - 2bp, 1CpGs: 9583531-9583532
cg25090472,chr6:25726725-25726726 - 2bp, 1CpGs: 9583534-9583535
cg10093738,chr6:25726719-25726720 - 2bp, 1CpGs: 9583532-9583533
cg04539057,chr11:1031985-1031986 - 2bp, 1CpGs: 16458168-16458169
cg02071579,chr16:88484042-88484043 - 2bp, 1CpGs: 22820294-22820295
cg09768859,chr10:132758884-132758885 - 2bp, 1CpGs: 16396990-16396991
cg17994840,chr10:132758913-132758914 - 2bp, 1CpGs: 16396993-16396994
cg06732450,chr10:132758857-132758858 - 2bp, 1CpGs: 16396987-16396988
cg03887092,chr6:1080650-1080651 - 2bp, 1CpGs: 9325133-9325134
cg10592494,chr7:98306452-98306453 - 2bp, 1CpGs: 11819794-11819795
cg15211734,chr7:98306444-98306445 - 2bp, 1CpGs: 11819793-11819794
cg23270726,chr11:1033157-1033158 - 2bp, 1CpGs: 16458203-16458204
cg13980446,chr13:113658012-113658013 - 2bp, 1CpGs: 19902486-19902487
cg06018666,chr4:10077740-10077741 - 2bp, 1CpGs: 6432427-6432428
cg27156649,chr16:30555698-30555699 - 2bp, 1CpGs: 22200262-22200263
cg12818656,chr11:1031856-1031857 - 2bp, 1CpGs: 16458156-16458157
cg24337215,chr1:155912153-155912154 - 2bp, 1CpGs: 1533989-1533990
cg06379876,chr1:40754434-40754435 - 2bp, 1CpGs: 656649-656650
cg24002071,chr1:2588481-2588482 - 2bp, 1CpGs: 70852-70853
cg26224791,chr5:1320619-1320620 - 2bp, 1CpGs: 7779783-7779784
cg04741516,chr14:99319871-99319872 - 2bp, 1CpGs: 20670540-20670541
cg10800989,chr14:99319856-99319857 - 2bp, 1CpGs: 20670539-20670540
cg10538275,chr14:99319889-99319890 - 2bp, 1CpGs: 20670542-20670543
cg07478335,chr11:119174034-119174035 - 2bp, 1CpGs: 17585188-17585189
cg22397625,chr11:119174016-119174017 - 2bp, 1CpGs: 17585187-17585188
cg22335368,chr11:119174065-119174066 - 2bp, 1CpGs: 17585190-17585191
cg09768859,chr10:132758884-132758885 - 2bp, 1CpGs: 16396990-16396991
cg17994840,chr10:132758913-132758914 - 2bp, 1CpGs: 16396993-16396994
cg19463982,chr17:50537075-50537076 - 2bp, 1CpGs: 23646562-23646563
cg10533694,chr14:104715033-104715034 - 2bp, 1CpGs: 20773406-20773407
cg03405781,chr2:102479179-102479180 - 2bp, 1CpGs: 3350478-3350479
cg15457037,chr20:63931495-63931496 - 2bp, 1CpGs: 26745832-26745833
cg22481448,chr1:27154177-27154178 - 2bp, 1CpGs: 475108-475109
cg03246584,chr10:132849963-132849964 - 2bp, 1CpGs: 16400496-16400497
cg03775163,chr13:113420378-113420379 - 2bp, 1CpGs: 19896315-19896316
cg25310447,chr21:45537530-45537531 - 2bp, 1CpGs: 27193082-27193083
cg05881566,chr11:61755293-61755294 - 2bp, 1CpGs: 17011127-17011128
cg06137032,chr11:61755335-61755336 - 2bp, 1CpGs: 17011131-17011132
cg07486017,chr11:61755327-61755328 - 2bp, 1CpGs: 17011130-17011131
cg11060910,chr11:61755303-61755304 - 2bp, 1CpGs: 17011128-17011129
cg11314274,chr3:132285220-132285221 - 2bp, 1CpGs: 5693111-5693112
cg05881566,chr11:61755293-61755294 - 2bp, 1CpGs: 17011127-17011128
cg06137032,chr11:61755335-61755336 - 2bp, 1CpGs: 17011131-17011132
cg07486017,chr11:61755327-61755328 - 2bp, 1CpGs: 17011130-17011131
cg11060910,chr11:61755303-61755304 - 2bp, 1CpGs: 17011128-17011129
cg11179625,chr11:61755269-61755270 - 2bp, 1CpGs: 17011126-17011127
cg10095533,chr16:88498672-88498673 - 2bp, 1CpGs: 22820840-22820841
cg21664614,chr13:110625264-110625265 - 2bp, 1CpGs: 19842769-19842770
cg00674415,chr16:1809329-1809330 - 2bp, 1CpGs: 21786473-21786474
cg26605046,chr4:2438004-2438005 - 2bp, 1CpGs: 6299596-6299597
cg27491224,chr4:2438013-2438014 - 2bp, 1CpGs: 6299598-6299599
cg18415485,chr19:3546366-3546367 - 2bp, 1CpGs: 24996756-24996757
cg26515162,chr1:27154103-27154104 - 2bp, 1CpGs: 475102-475103
cg05934127,chr19:52725843-52725844 - 2bp, 1CpGs: 25871299-25871300
cg07049352,chr17:82696459-82696460 - 2bp, 1CpGs: 24104272-24104273
cg12598767,chr11:72754914-72754915 - 2bp, 1CpGs: 17213183-17213184
cg25052374,chr17:78995171-78995172 - 2bp, 1CpGs: 24002080-24002081
cg17838182,chr17:78995126-78995127 - 2bp, 1CpGs: 24002077-24002078
cg05655953,chr10:122050517-122050518 - 2bp, 1CpGs: 16240182-16240183
cg05881566,chr11:61755293-61755294 - 2bp, 1CpGs: 17011127-17011128
cg06137032,chr11:61755335-61755336 - 2bp, 1CpGs: 17011131-17011132
cg07486017,chr11:61755327-61755328 - 2bp, 1CpGs: 17011130-17011131
cg11060910,chr11:61755303-61755304 - 2bp, 1CpGs: 17011128-17011129
cg11179625,chr11:61755269-61755270 - 2bp, 1CpGs: 17011126-17011127
cg13494954,chr9:94607509-94607510 - 2bp, 1CpGs: 14471115-14471116
cg02898500,chr13:113172240-113172241 - 2bp, 1CpGs: 19890455-19890456
cg05372365,chr2:74460481-74460482 - 2bp, 1CpGs: 3096482-3096483
cg16559361,chr16:88477032-88477033 - 2bp, 1CpGs: 22820060-22820061
cg26884787,chr16:88477039-88477040 - 2bp, 1CpGs: 22820061-22820062
cg18232828,chr1:10786035-10786036 - 2bp, 1CpGs: 223637-223638
cg23911097,chr17:78995296-78995297 - 2bp, 1CpGs: 24002089-24002090
cg07213482,chr4:88739086-88739087 - 2bp, 1CpGs: 7011348-7011349
cg23783444,chr7:1090648-1090649 - 2bp, 1CpGs: 10856065-10856066
cg15153684,chr2:10546837-10546838 - 2bp, 1CpGs: 2509172-2509173
cg13851334,chr2:10546849-10546850 - 2bp, 1CpGs: 2509173-2509174
cg09597710,chr7:1081488-1081489 - 2bp, 1CpGs: 10855749-10855750
cg14487665,chr9:137514182-137514183 - 2bp, 1CpGs: 15022685-15022686
cg03935783,chr1:1225689-1225690 - 2bp, 1CpGs: 22863-22864
cg08478121,chr16:88479163-88479164 - 2bp, 1CpGs: 22820132-22820133
cg16756854,chr11:66348984-66348985 - 2bp, 1CpGs: 17099108-17099109
cg17431922,chr1:19273022-19273023 - 2bp, 1CpGs: 352927-352928
cg00902147,chr17:78997312-78997313 - 2bp, 1CpGs: 24002148-24002149
cg22687077,chr17:78997292-78997293 - 2bp, 1CpGs: 24002145-24002146
cg05357660,chr6:105302706-105302707 - 2bp, 1CpGs: 10231657-10231658
cg05881566,chr11:61755293-61755294 - 2bp, 1CpGs: 17011127-17011128
cg06137032,chr11:61755335-61755336 - 2bp, 1CpGs: 17011131-17011132
cg07486017,chr11:61755327-61755328 - 2bp, 1CpGs: 17011130-17011131
cg11060910,chr11:61755303-61755304 - 2bp, 1CpGs: 17011128-17011129
cg22518433,chr19:48750674-48750675 - 2bp, 1CpGs: 25793613-25793614
cg12026967,chr18:22200765-22200766 - 2bp, 1CpGs: 24373633-24373634
cg04571418,chr2:10583378-10583379 - 2bp, 1CpGs: 2509833-2509834
cg08542308,chr17:36537899-36537900 - 2bp, 1CpGs: 23422128-23422129
cg00077898,chr6:1080909-1080910 - 2bp, 1CpGs: 9325145-9325146
cg05544715,chr2:1422529-1422530 - 2bp, 1CpGs: 2396038-2396039
cg14717656,chr17:82695531-82695532 - 2bp, 1CpGs: 24104245-24104246
cg02146941,chr11:68754981-68754982 - 2bp, 1CpGs: 17146248-17146249
cg24090529,chr7:98215598-98215599 - 2bp, 1CpGs: 11817480-11817481
cg23265009,chr7:98215635-98215636 - 2bp, 1CpGs: 11817484-11817485
cg14050824,chr9:137789345-137789346 - 2bp, 1CpGs: 15029579-15029580
cg17583844,chr8:11661699-11661700 - 2bp, 1CpGs: 12604792-12604793
cg03975306,chr8:11661683-11661684 - 2bp, 1CpGs: 12604791-12604792
cg24894531,chr3:137998823-137998824 - 2bp, 1CpGs: 5739994-5739995
cg06932713,chr17:1006956-1006957 - 2bp, 1CpGs: 22893729-22893730
cg11803803,chr1:28448862-28448863 - 2bp, 1CpGs: 495909-495910
cg10799668,chr10:129833552-129833553 - 2bp, 1CpGs: 16340592-16340593
cg23391090,chr10:129833586-129833587 - 2bp, 1CpGs: 16340595-16340596
cg19790877,chr17:79975085-79975086 - 2bp, 1CpGs: 24025461-24025462
cg03594801,chr17:79975066-79975067 - 2bp, 1CpGs: 24025460-24025461
cg24297451,chr11:19431901-19431902 - 2bp, 1CpGs: 16659932-16659933
cg26261873,chr3:72411537-72411538 - 2bp, 1CpGs: 5227343-5227344
cg04387175,chr16:88502221-88502222 - 2bp, 1CpGs: 22820984-22820985
cg26987690,chr7:868160-868161 - 2bp, 1CpGs: 10847394-10847395
cg14646111,chr20:18509016-18509017 - 2bp, 1CpGs: 26152597-26152598
cg18130622,chr3:134405433-134405434 - 2bp, 1CpGs: 5711461-5711462
cg14070204,chr3:134405384-134405385 - 2bp, 1CpGs: 5711460-5711461
cg05242494,chr16:88508941-88508942 - 2bp, 1CpGs: 22821185-22821186
cg25052374,chr17:78995171-78995172 - 2bp, 1CpGs: 24002080-24002081
cg17838182,chr17:78995126-78995127 - 2bp, 1CpGs: 24002077-24002078
cg25793425,chr19:6007831-6007832 - 2bp, 1CpGs: 25065098-25065099
cg05347334,chr4:2437670-2437671 - 2bp, 1CpGs: 6299585-6299586
cg26149658,chr4:2437696-2437697 - 2bp, 1CpGs: 6299587-6299588
cg19277672,chr7:156666053-156666054 - 2bp, 1CpGs: 12390656-12390657
cg26624794,chr5:172905682-172905683 - 2bp, 1CpGs: 9173206-9173207
cg01268367,chr21:37674121-37674122 - 2bp, 1CpGs: 27061698-27061699
cg10592494,chr7:98306452-98306453 - 2bp, 1CpGs: 11819794-11819795
cg15211734,chr7:98306444-98306445 - 2bp, 1CpGs: 11819793-11819794
cg09328356,chr16:29901841-29901842 - 2bp, 1CpGs: 22185978-22185979
cg12301921,chr5:1122764-1122765 - 2bp, 1CpGs: 7773711-7773712
cg07347645,chr20:59932116-59932117 - 2bp, 1CpGs: 26654337-26654338
cg13975228,chr11:77997200-77997201 - 2bp, 1CpGs: 17272838-17272839
cg23008136,chr2:55516800-55516801 - 2bp, 1CpGs: 2926495-2926496
cg26641275,chr2:239049858-239049859 - 2bp, 1CpGs: 4502173-4502174
cg07344990,chr16:575906-575907 - 2bp, 1CpGs: 21739521-21739522
cg19515081,chr14:104802155-104802156 - 2bp, 1CpGs: 20776393-20776394
cg19591902,chr4:76732190-76732191 - 2bp, 1CpGs: 6920526-6920527
cg07162210,chr6:15391040-15391041 - 2bp, 1CpGs: 9487264-9487265
cg02919368,chr7:143012-143013 - 2bp, 1CpGs: 10824719-10824720
cg06601579,chr7:142966-142967 - 2bp, 1CpGs: 10824717-10824718
cg10788213,chr22:45323295-45323296 - 2bp, 1CpGs: 27735304-27735305
cg24874524,chr2:27150220-27150221 - 2bp, 1CpGs: 2670719-2670720
cg14949065,chr2:27150260-27150261 - 2bp, 1CpGs: 2670722-2670723
cg06746318,chr7:102111906-102111907 - 2bp, 1CpGs: 11889365-11889366
cg27239168,chr16:58158232-58158233 - 2bp, 1CpGs: 22439334-22439335
cg27238852,chr16:58158270-58158271 - 2bp, 1CpGs: 22439337-22439338
cg01515732,chr14:75546584-75546585 - 2bp, 1CpGs: 20444333-20444334
cg13738571,chr14:75546598-75546599 - 2bp, 1CpGs: 20444335-20444336
cg02775417,chr19:643457-643458 - 2bp, 1CpGs: 24893607-24893608
cg04815835,chr11:64754725-64754726 - 2bp, 1CpGs: 17063321-17063322
cg17876831,chr17:19015097-19015098 - 2bp, 1CpGs: 23179986-23179987
cg26923629,chr16:4749202-4749203 - 2bp, 1CpGs: 21862218-21862219
cg18537476,chr1:229116365-229116366 - 2bp, 1CpGs: 2162420-2162421
cg26251854,chr1:229116327-229116328 - 2bp, 1CpGs: 2162417-2162418
cg02517473,chr2:106310864-106310865 - 2bp, 1CpGs: 3385247-3385248
cg27402782,chr11:65529323-65529324 - 2bp, 1CpGs: 17080298-17080299
cg07795168,chr5:180601818-180601819 - 2bp, 1CpGs: 9296340-9296341
cg27198013,chr17:17810979-17810980 - 2bp, 1CpGs: 23160224-23160225
cg23665668,chr17:40089254-40089255 - 2bp, 1CpGs: 23479280-23479281
cg23526824,chr17:40089289-40089290 - 2bp, 1CpGs: 23479284-23479285
cg18537476,chr1:229116365-229116366 - 2bp, 1CpGs: 2162420-2162421
cg26251854,chr1:229116327-229116328 - 2bp, 1CpGs: 2162417-2162418
